앉기	Sit
대포로 크라켄을 10번 맞히기	Hit the Kraken 10 times with cannons
크라켄 습격 물리치기에 참여하기	Help defeat a Kraken raid
관전하며 생존자 2번 맞히기	Predict 2 survivors while spectating
첫 승리	First win
10승	10 wins
50승	50 wins
해적 50번 잡기	Catch 50 pirates
해적 250번 잡기	Catch 250 pirates
3연승	3-win streak
7연승	7-win streak
100판 참가	Play 100 rounds
배짱으로 25번 살아남기	Survive 25 bonus stabs
완벽한 잡기 20회	20 perfect catches
대포로 크라켄 100번 맞히기	Hit the Kraken 100 times with cannons
크라켄 습격 10번 물리치기	Defeat 10 Kraken raids
크라켄 사냥꾼	Kraken Hunter
친구 · 파티와 같은 판에서 5번 우승	Win 5 rounds with friends or party members
선원 동료	Crewmate
토너먼트 시리즈 34점 이상	Score 34+ in a tournament series
토너먼트 챔피언	Tournament Champion
불꽃	Blaze
맹렬	Fierce
공허	Void
뼈다귀 잭	Bony Jack
외눈 몰리	One-Eyed Molly
소금물 샘	Saltwater Sam
갈고리 한스	Hook Hans
안개 속 루	Misty Lou
녹슨 닻 벤	Rusty Anchor Ben
해적 스킨	Pirate skin
통 스킨	Barrel skin
칼 스킨	Knife skin
선술집 의자	Tavern Chair
선장의 황금좌	Captain's Golden Seat
해룡의 왕좌	Sea Dragon Throne
유령의 흔적	Ghostly Trace
심연의 균열	Abyss Rift
용의 심판	Dragon's Judgment
선장의 경례	Captain's Salute
태양의 대관식	Solar Coronation
쌍룡 승천	Twin Dragon Ascension
청해룡	Tide Dragon
적염룡	Crimson Dragon
월백룡	Moon Dragon
의 송곳니	's Fang
의 봉인	's Seal
의 수호자	's Guardian
황금 비	Golden Rain
서리 왕관	Frost Crown
크라켄의 포옹	Kraken's Embrace
폭풍의 군주	Storm Lord
먹물 폭발	Ink Burst
잿더미	Ashes
얼음 파편	Ice Shatter
낮	Day
평온한 항해	Calm sailing
노을	Dusk
황금 시간 · 보물 폭발 2배	Golden hour · 2x treasure bursts
밤	Night
현상금 +25% · 해적이 더 빨리 나온다	Bounty +25% · pirates pop out faster
안개	Fog
자리 번호가 안개에 가려진다 · 현상금 +25%	Fog hides slot numbers · bounty +25%
폭풍	Storm
크라켄 습격! · 현상금 2배 · 해적 +1	Kraken raid! · 2x bounty · +1 pirate
새벽	Dawn
폭풍이 지나간다	The storm passes
스킨 바로 구매 (일반)	Instant Skin (Common)
스킨 바로 구매 (희귀)	Instant Skin (Rare)
스킨 바로 구매 (영웅)	Instant Skin (Epic)
스킨 바로 구매 (전설)	Instant Skin (Legendary)
스킨 바로 구매 (신화)	Instant Skin (Mythic)
스킨	Skin
룰렛 이용권 5장	5 Spin Tickets
주간 20판 완료	Play 20 rounds this week
주간 5회 우승	Win 5 rounds this week
주간 해적 25회 잡기	Catch 25 pirates this week
용의 항로	Dragon Tide
한 번 넘기기	Pass once
통 회전	Rotate barrel
슬롯 봉인	Seal a slot
항해 수첩	Voyage Log
관전	Spectate
관전 종료	Stop spectating
다음 판 참가	Join next round
설정	Settings
주간 의뢰	Weekly quests
파티	Party
친구 초대	Invite friends
보상 받기	Claim reward
진행 중인 테이블이 없습니다	No tables in play
파티 카드	Party cards
3D 미리보기	3D preview
3D 미리보기 · 드래그로 회전 / Drag to rotate	3D preview · drag to rotate
닫기 / Close	Close
4인 테이블	4-Player Table
2인 테이블	2-Player Table
6인 테이블	6-Player Table
빠른 테이블	Quick Table
파티 카드 · 6인	Party Cards · 6 players
토너먼트 테이블	Tournament Table
%d초	%ds
%.1f초	%.1fs
